episode,gamma=0.99,gamma=0.8,gamma=0.5
465,149.328025,-62.643737,-46.344763
466,146.885837,-63.632776,-46.447706
467,144.701552,-64.515971,-46.623935
468,145.151054,-64.275444,-46.529816
469,144.864127,-60.529395,-44.691082
470,144.216761,-60.919166,-44.981436
471,144.853059,-58.276499,-42.676714
472,146.45382,-58.183649,-42.682231
473,144.564319,-55.186315,-46.49958
474,144.549782,-55.843096,-42.704673
475,148.953785,-55.590151,-42.356547
476,149.046656,-55.089588,-37.858381
477,153.632025,-52.38596,-33.746053
478,155.958034,-53.342697,-29.556225
479,156.296879,-53.00324,-27.985695
480,155.743456,-52.916551,-23.504262
481,155.635743,-55.831038,-23.675879
482,156.378468,-55.530381,-22.386697
483,156.283114,-55.618092,-22.983886
484,158.140625,-53.223045,-23.571608
485,155.988284,-56.295972,-25.93382
486,155.480101,-59.977028,-25.654557
487,155.064757,-56.99539,-21.865861
488,152.677811,-56.673072,-18.234463
489,152.895478,-52.170348,-22.218994
490,152.986517,-52.054024,-18.105394
491,150.659679,-51.207227,-16.736693
492,148.711099,-48.273382,-14.415231
493,146.05244,-47.906041,-11.117735
494,146.245855,-48.426878,-7.176776
495,146.035103,-46.007388,-7.098407
496,146.565995,-46.357519,-2.681555
497,148.261345,-46.448372,-2.096278
498,146.032853,-47.793195,-4.108186
499,143.885769,-47.875107,-1.674797
500,143.948268,-45.189141,-3.090481
501,145.994662,-45.654782,-6.420165
502,145.872367,-42.784307,-5.876552
503,145.750942,-39.150816,-0.945028
504,146.6061,-39.167406,-4.59286
505,146.123512,-40.674812,-4.015551
506,143.790756,-41.224795,-4.672154
507,141.640598,-40.512275,-7.21526
508,141.672873,-41.707697,-5.445402
509,140.385593,-38.530092,-3.900512
510,140.16076,-36.925128,-8.269477
511,140.43169,-37.905584,-7.76375
512,141.173008,-35.787557,-5.002813
513,139.380915,-36.010785,-9.026231
514,139.731665,-37.022739,-4.73674
515,139.575773,-34.138643,-4.8783
516,137.141604,-33.674222,-5.059585
517,136.309196,-31.645565,-4.858545
