episode,epsilon=1.0,epsilon=0.8,epsilon=0.5
604,102.787536,51.377616,141.521173
605,105.199234,50.5339,144.934681
606,103.214432,52.609631,144.142032
607,104.852909,54.459547,146.446203
608,107.237465,56.452167,148.79956
609,107.208211,59.293848,151.965495
610,108.532501,60.884617,154.548229
611,108.831421,61.31136,155.300548
612,107.90618,59.151708,155.153995
613,108.228698,58.98785,157.70269
614,108.775067,57.885783,159.008266
615,108.635548,59.771568,156.96629
616,109.091749,62.25653,155.581437
617,110.905258,60.310872,157.876951
618,112.268555,60.490688,157.875725
619,115.549866,63.12139,155.810468
620,112.948205,65.390601,155.514482
621,112.769713,66.112474,155.031857
622,115.567561,66.18544,157.515438
623,112.33096,69.204144,160.229291
624,112.297844,69.176341,162.790749
625,112.090029,69.810685,163.080846
626,108.415577,71.962329,162.271749
627,106.652576,70.481786,162.344906
628,103.848676,73.153774,161.300709
629,100.250777,74.405136,161.152379
630,101.457503,74.322237,162.003968
631,101.025626,73.47707,161.809328
632,97.269825,75.680357,164.266383
633,94.062226,73.957952,163.951261
634,90.99428,75.852982,164.202616
635,90.789052,79.427051,164.319602
636,90.939443,80.224663,164.432132
637,90.956028,83.156235,164.642304
638,87.814517,83.437039,163.063243
639,88.02046,82.956685,163.151683
640,83.897017,85.196801,163.068842
641,80.808312,87.014969,162.647093
642,82.876075,89.528545,162.189704
643,78.876615,90.273762,162.285796
644,78.003034,87.870176,160.587562
645,76.065868,90.376728,160.814481
646,76.250125,92.963627,160.745119
647,76.89743,95.286148,160.410038
648,76.090153,97.254552,163.181569
649,73.866334,99.459008,165.120383
650,73.89432,102.280812,165.746286
651,70.920195,104.769902,165.487683
652,70.460082,104.332362,168.064201
653,72.523499,106.728989,165.32825
654,70.247421,107.335297,164.97968
655,68.7146,108.749519,164.551303
656,68.534284,108.978222,164.83607
657,68.087616,112.091232,164.670818
658,67.837142,110.072093,165.034613
659,65.130863,111.769539,165.413331
660,62.277835,113.464082,165.100418
661,59.156888,114.129458,163.121774
662,61.374299,111.748671,164.492601
663,63.6477,109.385869,164.777698
664,60.646537,106.223082,165.065783
665,63.570588,105.605008,165.274532
666,61.028571,103.197162,165.15936
667,59.088978,103.833218,164.472299
668,60.696764,103.600422,164.785145
669,62.149925,104.386229,163.936683
670,64.898753,106.26715,163.299167
671,64.35576,105.482485,163.22387
672,66.772338,105.024571,163.962056
673,68.340709,104.915422,163.186922
674,65.121992,103.42935,164.321234
675,65.358278,102.892945,161.910078
676,65.78515,102.892836,162.23602
677,68.469709,102.621217,162.232262
678,65.362138,102.054526,162.005953
679,65.036699,103.434352,162.69178
680,62.65298,103.254859,163.174789
681,65.478315,101.119265,162.813307
682,68.288809,101.531577,162.589214
683,70.14667,99.549886,163.171139
684,70.084517,96.775814,163.654234
685,70.040947,98.728511,163.648819
686,69.517287,97.715499,162.181592
687,71.193545,96.265244,160.32004
688,70.810074,98.751152,159.74633
689,70.784477,99.374756,162.250501
690,70.553619,100.099086,162.401131
691,71.217016,98.506738,162.553734
692,72.637957,100.99071,162.916851
693,73.228067,99.375062,162.968666
694,73.229472,99.314894,162.556019
695,73.364075,98.856778,162.297406
696,73.489425,98.667684,161.945317
697,73.960064,99.28298,161.927303
698,73.574915,98.541182,164.346143
699,75.328719,98.733732,166.316739
700,75.606839,97.742674,166.476923
701,73.212743,99.188799,165.967806
702,73.137971,98.615276,164.758081
703,74.326003,99.109221,164.945828
704,77.240635,99.184309,164.289574
705,77.100078,99.462319,166.324741
706,76.916456,97.472992,166.094707
707,76.90742,94.62524,165.882257
708,75.035779,92.477962,165.571207
709,74.941514,92.096605,165.523608
710,75.144577,91.248568,164.742669
711,74.471128,91.755053,165.129045
712,74.324026,92.504196,163.634502
713,74.911806,94.161986,163.380984
714,74.626373,94.660259,162.912796
715,75.909107,95.199779,162.954007
716,75.2527,95.628967,165.205711
717,74.640001,96.125276,167.79367
718,75.181794,98.312644,168.19822
719,75.347046,98.218074,168.455744
720,73.181882,98.861355,167.241916
721,76.272069,98.083124,167.66098
722,78.187463,98.438129,167.939119
